ingredient_count,total_weight_grams,has_milk,has_sugar,has_rice,has_dal,has_paneer,has_ghee,has_butter,has_cream,has_oil,has_onion,has_tomato,has_potato,has_chicken,has_vegetables,dairy_grams,grain_grams,protein_source_grams,fat_source_grams,vegetable_grams,spice_grams,rich_ingredient_count,recipe_code,calories,protein,carbs,fats,sodium
7,113.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0,60.0,0.0,10.0,0.0,12.5,1,ASC026,257.7143249511719,8.196501731872559,29.101882934570312,12.797489166259766,571.9564208984375
7,118.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.0,60.0,0.0,10.0,25.0,12.5,1,ASC027,243.31991577148438,7.9185404777526855,26.92240333557129,12.274420738220215,549.70849609375
6,118.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10.0,60.0,45.0,10.0,0.0,12.5,1,ASC028,253.27267456054688,13.124119758605957,25.377338409423828,11.748669624328613,389.66558837890625
7,123.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.0,60.0,0.0,10.0,25.0,12.5,1,ASC029,291.4269104003906,9.528888702392578,28.544937133789062,16.13761329650879,364.99005126953125
13,189.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,45.0,120.0,0.0,20.0,7.5,23.75,1,ASC030,272.75140380859375,7.746617794036865,34.263946533203125,12.539576530456543,612.4857788085938
11,353.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,50.0,120.0,0.0,20.0,75.0,22.5,1,ASC031,235.3241729736328,7.3101277351379395,18.508420944213867,15.121536254882812,461.66015625
11,333.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,50.0,120.0,0.0,20.0,75.0,22.5,1,ASC032,198.32925415039062,5.451312065124512,19.684192657470703,11.329170227050781,305.3633117675781
6,113.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,50.0,0.0,0.0,2.5,0,ASC033,311.5205993652344,8.766905784606934,14.004125595092773,24.934709548950195,374.3905029296875
10,195.25,0,0,0,0,0,0,1,1,0,0,0,0,0,1,25.0,90.0,0.0,15.0,25.0,16.25,2,ASC034,214.11184692382812,5.297377586364746,29.04496192932129,9.123984336853027,302.8827209472656
8,150.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.0,60.0,0.0,10.0,2.5,12.5,1,ASC035,255.5937042236328,8.695690155029297,21.538450241088867,15.509899139404297,662.7457275390625
